Brand_Name,Policy_Name,Cashless_Hospitals,Coverage_Amount,Monthly_Premium,Annual_Premium,Claim_Settlement_Ratio,Fitness_Score1,Fitness_Score2,Fitness_Score3,Fitness Score_4
Care Health,Care Advantage,15,₹2 Cr,"₹3,468/month","₹41,611 / Year",93 % claim settlement ratio,45,44,43,46
Care Health,Care Advantage with NCB,15,₹2 Cr,"₹3,594/month","₹43,122 / Year",93 % claim settlement ratio,35,34,33,36
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹2 Cr,"₹3,468/month","₹41,611 / Year",93 % claim settlement ratio,50,49,48,51
Care Health,Care Advantage with Global Coverage Inc US,15,₹2 Cr,"₹4,070/month","₹48,834 / Year",93 % claim settlement ratio,33,32,31,34
Care Health,Care Advantage with Global Coverage Ex US,15,₹2 Cr,"₹3,468/month","₹41,611 / Year",93 % claim settlement ratio,47,46,45,48
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹2 Cr,"₹4,070/month","₹48,834 / Year",93 % claim settlement ratio,49,48,47,50
Star Health,Assure Insurance Policy,16,₹2 Cr,"₹2,272/month","₹27,263 / Year",85.80 % claim settlement ratio,65,64,63,66
Niva Bupa,Health Premia Platinum,16,₹2 Cr,"₹5,815/month","₹69,780 / Year",92 % claim settlement ratio,33,32,31,34
Aditya Birla,Activ One Max,14,₹2 Cr,"₹1,896/month","₹22,756 / Year",96 % claim settlement ratio,63,62,61,64
Aditya Birla,Active Health Platinum - Enhanced,14,₹1.5 Cr,"₹2,156/month","₹25,874 / Year",96 % claim settlement ratio,70,69,68,71
ICICI Lombard,Elevate + BeFit,12,₹3 Cr,"₹2,011/month","₹24,136 / Year",99.80 % claim settlement ratio,68,67,66,69
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹2 Cr,"₹2,873/month","₹34,475 / Year",99.80 % claim settlement ratio,50,49,48,51
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹2 Cr,"₹2,873/month","₹34,475 / Year",99.80 % claim settlement ratio,52,51,50,53
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹2 Cr,"₹2,904/month","₹34,846 / Year",99.80 % claim settlement ratio,60,59,58,61
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹2 Cr,"₹2,904/month","₹34,846 / Year",99.80 % claim settlement ratio,80,79,78,81
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹1.5 Cr,"₹2,518/month","₹30,212 / Year",93.4 % claim settlement ratio,55,54,53,56
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹1.5 Cr,"₹1,332/month","₹15,989 / Year",93.4 % claim settlement ratio,85,84,83,86
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹1.5 Cr,"₹1,351/month","₹16,213 / Year",93.4 % claim settlement ratio,90,89,88,91
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹1.5 Cr,"₹1,326/month","₹15,915 / Year",93.4 % claim settlement ratio,86,85,84,87
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹1.5 Cr,"₹2,499/month","₹29,989 / Year",93.4 % claim settlement ratio,78,77,76,79
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹1.5 Cr,"₹2,493/month","₹29,915 / Year",93.4 % claim settlement ratio,88,87,86,89
Royal Sundaram,Lifeline Elite,15,₹1.5 Cr,"₹6,976/month","₹83,717 / Year",92 % claim settlement ratio,40,39,38,41
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹1 Cr,"₹1,659/month","₹19,908 / Year",93 % claim settlement ratio,100,99,98,100
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹1 Cr,"₹1,709/month","₹5,128 for 3 months",93 % claim settlement ratio,89,88,87,90
Care Health,Care Advantage,15,₹1 Cr,"₹1,397/month","₹16,761 / Year",93 % claim settlement ratio,97,96,95,98
Care Health,Care Advantage with NCB,15,₹1 Cr,"₹1,501/month","₹18,017 / Year",93 % claim settlement ratio,86,85,84,87
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹1 Cr,"₹1,397/month","₹16,761 / Year",93 % claim settlement ratio,89,88,87,90
Care Health,Care Advantage with Global Coverage Inc US,15,₹1 Cr,"₹2,470/month","₹29,642 / Year",93 % claim settlement ratio,76,75,74,77
Care Health,Care Advantage with Global Coverage Ex US,15,₹1 Cr,"₹2,189/month","₹26,267 / Year",93 % claim settlement ratio,83,82,81,84
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹1 Cr,"₹2,470/month","₹29,642 / Year",93 % claim settlement ratio,75,74,73,76
Star Health,Young Star Silver,16,₹1 Cr,"₹1,936/month","₹23,231 / Year",85.80 % claim settlement ratio,73,72,71,74
Star Health,Young Star Gold,16,₹1 Cr,"₹2,048/month","₹24,579 / Year",85.80 % claim settlement ratio,75,74,73,76
Star Health,Assure Insurance Policy,16,₹1 Cr,"₹2,045/month","₹24,536 / Year",85.80 % claim settlement ratio,87,86,85,88
Star Health,Comprehensive Individual,16,₹1 Cr,"₹2,213/month","₹26,556 / Year",85.80 % claim settlement ratio,80,79,78,81
Star Health,Comprehensive with PED Buy Back,16,₹1 Cr,"₹2,877/month","₹34,523 / Year",85.80 % claim settlement ratio,64,63,62,65
Star Health,Smart Health Pro,16,₹1 Cr,"₹1,590/month","₹19,081 / Year",85.80 % claim settlement ratio,89,88,87,90
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹1 Cr,"₹2,299/month","₹27,584 / Year",92 % claim settlement ratio,93,92,91,94
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹1 Cr,"₹2,356/month","₹28,266 / Year",92 % claim settlement ratio,81,80,79,82
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹1 Cr,"₹2,158/month","₹25,894 / Year",92 % claim settlement ratio,90,89,88,91
Niva Bupa,Aspire Gold + (Direct),16,₹1 Cr,"₹1,803/month","₹21,638 / Year",92 % claim settlement ratio,82,81,80,83
Niva Bupa,Aspire Diamond + (Direct),16,₹1 Cr,"₹2,031/month","₹24,377 / Year",92 % claim settlement ratio,78,77,76,79
Niva Bupa,Aspire Platinum + (Direct),16,₹1 Cr,"₹2,236/month","₹26,833 / Year",92 % claim settlement ratio,83,82,81,84
Niva Bupa,Aspire Titanium + (Direct),16,₹1 Cr,"₹2,250/month","₹27,000 / Year",92 % claim settlement ratio,66,65,64,67
Niva Bupa,Health Companion,16,₹1 Cr,"₹2,594/month","₹31,130 / Year",92 % claim settlement ratio,78,77,76,79
Niva Bupa,Health Companion + Safeguard,16,₹1 Cr,"₹2,789/month","₹33,465 / Year",92 % claim settlement ratio,90,89,88,91
Niva Bupa,Health Premia Platinum,16,₹1 Cr,"₹5,302/month","₹63,627 / Year",92 % claim settlement ratio,100,99,98,100
Aditya Birla,Activ One Max,14,₹1 Cr,"₹1,679/month","₹20,142 / Year",96 % claim settlement ratio,55,54,53,56
Aditya Birla,Active Health Platinum - Enhanced,14,₹1 Cr,"₹2,015/month","₹24,182 / Year",96 % claim settlement ratio,62,61,60,63
ICICI Lombard,Elevate + BeFit,12,₹1 Cr,"₹1,670/month","₹20,039 / Year",99.80 % claim settlement ratio,78,77,76,79
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹1 Cr,"₹2,530/month","₹30,362 / Year",99.80 % claim settlement ratio,61,60,59,62
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹1 Cr,"₹2,530/month","₹30,362 / Year",99.80 % claim settlement ratio,94,93,92,95
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹1 Cr,"₹2,561/month","₹30,733 / Year",99.80 % claim settlement ratio,52,51,50,53
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹1 Cr,"₹2,561/month","₹30,733 / Year",99.80 % claim settlement ratio,48,47,46,49
Reliance,Health Gain Prime,15,₹1 Cr,"₹1,843/month","₹22,120 / Year",99.90 % claim settlement ratio,78,77,76,79
Reliance,Health Infinity With More Time,15,₹1 Cr,"₹1,848/month","₹22,176 / Year",99.90 % claim settlement ratio,93,92,91,94
Reliance,Health Infinity With More Global,15,₹1 Cr,"₹1,848/month","₹22,176 / Year",99.90 % claim settlement ratio,47,46,45,48
Reliance,Health Infinity With More Cover,15,₹1 Cr,"₹1,848/month","₹22,176 / Year",99.90 % claim settlement ratio,80,79,78,81
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹1 Cr,"₹2,325/month","₹27,901 / Year",93.4 % claim settlement ratio,74,73,72,75
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹1 Cr,"₹1,273/month","₹15,279 / Year",93.4 % claim settlement ratio,69,68,67,70
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹1 Cr,"₹1,291/month","₹15,492 / Year",93.4 % claim settlement ratio,92,91,90,93
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹1 Cr,"₹1,267/month","₹15,208 / Year",93.4 % claim settlement ratio,57,56,55,58
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹1 Cr,"₹2,307/month","₹27,688 / Year",93.4 % claim settlement ratio,82,81,80,83
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹1 Cr,"₹2,301/month","₹27,617 / Year",93.4 % claim settlement ratio,98,97,96,99
Royal Sundaram,Lifeline Supreme,15,₹1 Cr,"₹1,583/month","₹18,991 / Year",92 % claim settlement ratio,74,73,72,75
Royal Sundaram,Lifeline Elite,15,₹1 Cr,"₹5,641/month","₹67,695 / Year",92 % claim settlement ratio,67,66,65,68
Universal Sompo,A Plus Silver,20,₹1 Cr,"₹1,832/month","₹21,983 / Year",96 % claim settlement ratio,98,97,96,99
Universal Sompo,A Plus Gold,20,₹1 Cr,"₹1,889/month","₹22,668 / Year",96 % claim settlement ratio,38,37,36,39
Universal Sompo,A Plus Diamond,20,₹1 Cr,"₹2,098/month","₹25,181 / Year",96 % claim settlement ratio,97,96,95,98
Universal Sompo,A Plus Silver + Non medical items,20,₹1 Cr,"₹1,908/month","₹22,892 / Year",96 % claim settlement ratio,91,90,89,92
Universal Sompo,A Plus Gold + Non medical items,20,₹1 Cr,"₹1,965/month","₹23,576 / Year",96 % claim settlement ratio,61,60,59,62
Universal Sompo,A Plus Diamond + Non medical items,20,₹1 Cr,"₹2,174/month","₹26,090 / Year",96 % claim settlement ratio,36,35,34,37
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹1 Cr,"₹2,211/month","₹26,526 / Year",96 % claim settlement ratio,78,77,76,79
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹1 Cr,"₹2,268/month","₹27,211 / Year",96 % claim settlement ratio,92,91,90,93
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹1 Cr,"₹2,477/month","₹29,724 / Year",96 % claim settlement ratio,35,34,33,36
Digit Insurance,Double Wallet Plan,10,₹1 Cr,"₹1,613/month","₹19,352 / Year",96 % claim settlement ratio,45,44,43,46
Digit Insurance,Infinity Wallet Plan,10,₹1 Cr,"₹1,932/month","₹23,189 / Year",96 % claim settlement ratio,64,63,62,65
Digit Insurance,Worldwide Treatment plan,10,₹1 Cr,"₹3,447/month","₹41,360 / Year",96 % claim settlement ratio,57,56,55,58
Star Health,Mediclassic Individual Silver,16,₹1.5 Lac,₹432/month,"₹5,189 / Year",85.80 % claim settlement ratio,86,85,84,87
