Brand Name,Policy Name,Cashless Hospitals,Coverage Amount,Monthly Premium,Annual Premium,Claim Settlement Ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹25 Lac,"₹1,170/month","₹14,044 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹25 Lac,"₹1,206/month","₹3,618 for 3 months",93 % claim settlement ratio
Care Health,Care Advantage,15,₹25 Lac,₹926/month,"₹11,109 / Year",93 % claim settlement ratio
Care Health,Care with Care Shield,15,₹20 Lac,"₹1,872/month","₹22,461 / Year",93 % claim settlement ratio
Care Health,Care Advantage with NCB,15,₹25 Lac,"₹1,018/month","₹12,219 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹25 Lac,₹949/month,"₹11,386 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹25 Lac,"₹1,483/month","₹17,801 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹20 Lac,"₹1,131/month","₹13,570 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹20 Lac,"₹1,243/month","₹14,913 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹20 Lac,"₹1,306/month","₹15,676 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹20 Lac,"₹1,588/month","₹19,057 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Gold,16,₹20 Lac,"₹1,586/month","₹19,034 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹20 Lac,"₹2,065/month","₹24,774 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹20 Lac,"₹1,037/month","₹12,448 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹20 Lac,"₹1,458/month","₹17,490 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹20 Lac,"₹1,492/month","₹17,907 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹20 Lac,"₹1,347/month","₹16,168 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Gold + (Direct),16,₹20 Lac,"₹1,030/month","₹12,359 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Diamond + (Direct),16,₹20 Lac,"₹1,177/month","₹14,126 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Platinum + (Direct),16,₹20 Lac,"₹1,328/month","₹15,941 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Titanium + (Direct),16,₹20 Lac,"₹1,336/month","₹16,037 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹20 Lac,"₹1,352/month","₹16,223 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹20 Lac,"₹1,585/month","₹19,024 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Gold,16,₹20 Lac,"₹2,189/month","₹26,270 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹20 Lac,"₹1,051/month","₹12,616 / Year",96 % claim settlement ratio
